sub,rotationSpeed,afterReversalD,targetSide,perceptualError,RtorsionPosition,RtorsionVelT,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacNumTCW,RsacNumTCCW,RsacAmpSumT,RsacAmpSumTCW,RsacAmpSumTCCW,RsacAmpMeanT,RsacAmpMeanTCW,RsacAmpMeanTCCW,LtorsionPosition,LtorsionVelT,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacNumTCW,LsacNumTCCW,LsacAmpSumT,LsacAmpSumTCW,LsacAmpSumTCCW,LsacAmpMeanT,LsacAmpMeanTCW,LsacAmpMeanTCCW,timeWindow,exp
1,50,1,1,12.4850258654395,0.135219768929896,0.00843421322466593,0.0127171372110962,0.0127171372110962,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.152852422762969,0.595850189109773,0.213634936139278,0.213634936139278,-0,1,0,1,0.379850656572899,0,0.379850656572899,0.379850656572899,NaN,0.379850656572899,-1,2
1,100,-1,1,13.6467742129998,-0.391584909816169,-0.201218684876806,0.110442087030355,0,-0.110442087030355,0,0,0,0,0,0,NaN,NaN,NaN,-0.786527235230235,0.954063722032108,0.486279872490292,0.486279872490292,-0,1,0,1,0.236722065262124,0,0.236722065262124,0.236722065262124,NaN,0.236722065262124,-1,2
1,100,1,1,5.48297080802045,0.112341568198994,-0.16608621294136,0.122182963393709,0,-0.122182963393709,0,0,0,0,0,0,NaN,NaN,NaN,-0.497084889196977,0.559791563168407,0.428336823928244,0.428336823928244,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,25,-1,1,-1.27287321697865,-0.220465308145351,0.370656793759939,0.220618797899993,0.220618797899993,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.354377478501117,0.244610825796985,0.231896881662968,0.186041697087024,-0.0458551845759442,1,0,1,0.571430875576256,0,0.571430875576256,0.571430875576256,NaN,0.571430875576256,-1,2
1,100,-1,1,18.7418661208217,0.260026932759286,0.301448022064145,0.125222350195706,0.125222350195706,-0,0,0,0,0,0,0,NaN,NaN,NaN,0.202866762031644,0.275571777962769,0.206528640653663,0.112201656002041,-0.0943269846516223,2,0,2,0.819370205993388,0,0.819370205993388,0.409685102996694,NaN,0.409685102996694,-1,2
1,50,1,-1,17.5961032826466,0.0739228722404178,-0.116844621113881,0.0498856204910164,0,-0.0498856204910164,0,0,0,0,0,0,NaN,NaN,NaN,-0.390656089910865,0.448272974576299,0.253361105690225,0.253361105690225,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,200,-1,-1,15.0144914470122,0.798336657686419,-0.189238013346143,0.102557713173203,0,-0.102557713173203,0,0,0,0,0,0,NaN,NaN,NaN,0.166069115874573,0.320617172628451,0.18254408645363,0.18254408645363,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,25,1,1,3.44459455680567,0.035944472557473,-0.189950113567692,0.0983871244116763,0,-0.0983871244116763,0,0,0,0,0,0,NaN,NaN,NaN,-0.383460024590788,0.701176758611206,0.337092797981952,0.337092797981952,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,100,1,-1,10.6710935659933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.259788430612395,0.77786465735291,0.386737761542958,0.386737761542958,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,200,1,-1,18.5747796195646,-0.0248842213009048,0.462558187443172,0.3512627661729,0.3512627661729,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.292801507037004,0.709773050830665,0.489543626020821,0.489543626020821,-0,1,0,1,0.411462940564096,0,0.411462940564096,0.411462940564096,NaN,0.411462940564096,-1,2
1,100,1,-1,18.7342802901348,-0.224986130492934,0.0428163363920949,0.0268393598793639,0.0268393598793639,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.495045774410124,-0.0336275823757532,0.258228759772007,0.128049233971284,-0.130179525800723,2,0,2,0.777114954451289,0,0.777114954451289,0.388557477225644,NaN,0.388557477225644,-1,2
1,100,-1,-1,17.4786940627376,-0.183737648822116,0.401193036838606,0.182052255419086,0.182052255419086,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.234993693416385,0.622706615487319,0.280038052210343,0.280038052210343,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,50,-1,1,13.4580332700711,-0.814434091297295,0.287224889496954,0.162652020024906,0.162652020024906,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.476019325198269,0.309501608193085,0.289088551908752,0.240393815527883,-0.0486947363808692,1,0,1,0.247452452733296,0,0.247452452733296,0.247452452733296,NaN,0.247452452733296,-1,2
1,25,1,-1,10.858407648463,0.0322441654225972,-0.156619214309711,0.0925604945793782,0,-0.0925604945793782,0,0,0,0,0,0,NaN,NaN,NaN,-0.437160665807577,0.222979166413215,0.156959939975287,0.156959939975287,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,50,-1,-1,19.7171996793081,-0.554113171898371,0.552748475992513,0.237515304041829,0.237515304041829,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.719606263541881,0.931506050250508,0.316539548724788,0.316539548724788,-0,1,0,1,0.459699753355018,0,0.459699753355018,0.459699753355018,NaN,0.459699753355018,-1,2
1,200,-1,1,14.787404327041,0.454256928215979,0.20458960063674,0.162515799301832,0.162515799301832,-0,0,0,0,0,0,0,NaN,NaN,NaN,0.135695859074265,0.507944067281752,0.393713340625233,0.393713340625233,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,50,1,1,10.9491155906436,-0.212902824907609,-0.156071701287161,0.0961794749451567,0,-0.0961794749451567,0,0,0,0,0,0,NaN,NaN,NaN,-0.292325574965603,0.437461013397107,0.248255590655642,0.248255590655642,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,200,1,1,14.1995337879986,0.199071641654774,-0.0240355981943039,0.00873607057511355,0,-0.00873607057511355,0,0,0,0,0,0,NaN,NaN,NaN,-0.332352315031029,0.837323181406659,0.539176281021779,0.539176281021779,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,200,1,-1,14.4834420259167,0.127196554749816,-0.0557548716759431,0.0416118748718733,0,-0.0416118748718733,0,0,0,0,0,0,NaN,NaN,NaN,-0.240446552156571,0.720585462878899,0.587093305397647,0.519728671844144,-0.0673646335535026,1,0,1,0.229124150978254,0,0.229124150978254,0.229124150978254,NaN,0.229124150978254,-1,2
1,25,1,1,6.72104209638356,-0.301771240799826,0.12616915188199,0.0694342562314331,0.0694342562314331,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.615294457977965,0.53017028326444,0.30532258806856,0.30532258806856,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,100,-1,-1,10.7906417584329,-0.187450103871432,0.397457528099527,0.173091527306314,0.173091527306314,-0,0,0,0,0,0,0,NaN,NaN,NaN,0.344614231211333,-0.280909564396933,0.114701973794875,0,-0.114701973794875,1,0,1,0.386193875909085,0,0.386193875909085,0.386193875909085,NaN,0.386193875909085,-1,2
