sub,rotationSpeed,afterReversalD,targetSide,timeWindow,exp,perceptualError,eye,torsionPosition,torsionVelT,torsionAngleTotal,torsionAngleCW,torsionAngleCCW,sacNumT,sacNumTCW,sacNumTCCW,sacAmpSumT,sacAmpSumTCW,sacAmpSumTCCW,sacAmpMeanT,sacAmpMeanTCW,sacAmpMeanTCCW
1,50,-1,-1,-1,2,19.7171996793081,1,-0.719606263541881,0.931506050250508,0.316539548724788,0.316539548724788,-0,1,0,1,0.459699753355018,0,0.459699753355018,0.459699753355018,NaN,0.459699753355018
1,200,-1,1,-1,2,14.787404327041,2,0.454256928215979,0.20458960063674,0.162515799301832,0.162515799301832,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,1,-1,2,10.9491155906436,2,-0.212902824907609,-0.156071701287161,0.0961794749451567,0,-0.0961794749451567,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,1,-1,2,14.1995337879986,2,0.199071641654774,-0.0240355981943039,0.00873607057511355,0,-0.00873607057511355,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,-1,-1,2,14.4834420259167,1,-0.240446552156571,0.720585462878899,0.587093305397647,0.519728671844144,-0.0673646335535026,1,0,1,0.229124150978254,0,0.229124150978254,0.229124150978254,NaN,0.229124150978254
1,25,1,1,-1,2,6.72104209638356,2,-0.301771240799826,0.12616915188199,0.0694342562314331,0.0694342562314331,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,-1,-1,2,10.7906417584329,1,0.344614231211333,-0.280909564396933,0.114701973794875,0,-0.114701973794875,1,0,1,0.386193875909085,0,0.386193875909085,0.386193875909085,NaN,0.386193875909085
1,25,1,1,-1,2,7.95115966376495,2,0.435616807684276,-0.0994597443850251,0.0601685348762637,0,-0.0601685348762637,0,0,0,0,0,0,NaN,NaN,NaN
1,25,-1,1,-1,2,17.9497764418931,2,-0.138273606466433,0.0266469714232251,0.017542312624828,0.017542312624828,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,-1,1,-1,2,9.3402414165338,2,-0.216933126661896,-0.621537309955498,0.355976846434865,0,-0.355976846434865,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,-1,-1,2,13.5378506932356,1,0.0306101535835417,0.313427654357816,0.268961259090845,0.268961259090845,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,-1,-1,2,12.4034380728647,1,-0.687355105879095,-0.878076857758111,0.231886209664205,0,-0.231886209664205,2,0,2,0.95496609198823,0,0.95496609198823,0.477483045994115,NaN,0.477483045994115
1,25,-1,1,-1,2,12.6998183687409,2,-0.218197245168031,-0.291633212691841,0.146737757913618,0,-0.146737757913618,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,1,-1,2,10.4985390294204,2,-0.320969809082479,0.264940013899044,0.158279519219075,0.158279519219075,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,1,-1,2,12.5831325457685,2,-0.422044112779701,0.714439085530761,0.487912719054057,0.487912719054057,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,-1,1,-1,2,9.09949808803156,2,0.341323641718974,0.40793443061762,0.205337434395232,0.205337434395232,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,25,1,-1,-1,2,21.2788207867121,1,-0.862081473014489,0.1677074233055,0.304381813718005,0.185884686272258,-0.118497127445747,2,0,2,1.11645140501488,0,1.11645140501488,0.558225702507442,NaN,0.558225702507442
1,200,1,1,-1,2,13.8116500081582,2,0.0992193119901791,-0.0148972445217416,0.00977010381651897,0,-0.00977010381651897,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,1,-1,2,18.3542262504745,2,-0.455920641001494,0.384898523956169,0.189196373523958,0.189196373523958,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,-1,1,-1,2,7.32876586471496,2,-0.153856785698662,0.4083586355883,0.304771809327627,0.304771809327627,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,-1,-1,2,9.67604722035398,1,-0.388698824035057,1.64784023309124,0.635158978791943,0.635158978791943,-0,1,0,1,0.00307569129095062,0,0.00307569129095062,0.00307569129095062,NaN,0.00307569129095062
1,100,-1,1,-1,2,7.92941238281256,2,0.690166558087281,-0.261229345319476,0.202880463912694,0,-0.202880463912694,0,0,0,0,0,0,NaN,NaN,NaN
1,25,-1,-1,-1,2,12.1618495693549,1,-0.514086086328623,0.564534130431344,0.374958778801828,0.374958778801828,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,1,-1,2,10.5485954992759,2,0.183010522206807,-0.251228827355671,0.183176459926404,0,-0.183176459926404,0,0,0,0,0,0,NaN,NaN,NaN
1,200,-1,-1,-1,2,21.6112965385653,1,-0.454495132269381,0.732078153402309,0.432425202678727,0.432425202678727,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,-1,-1,2,22.9715759601594,1,-0.696065224023511,1.71130676522155,0.540954132542319,0.540954132542319,-0,1,0,1,0.626950254912127,0,0.626950254912127,0.626950254912127,NaN,0.626950254912127
1,200,1,1,-1,2,7.71080853750054,2,-0.00790774809173824,0.645234670117778,0.306699092637495,0.306699092637495,-0,0,0,0,0,0,0,NaN,NaN,NaN
