sub,eye,rotationSpeed,sameSideAfterReversalD,torsionVelTMean,torsionVelTStd,torsionVelTGainMean,torsionVelTGainStd,torsionAngleTotalMean,torsionAngleTotalStd,torsionAngleCWMean,torsionAngleCWStd,torsionAngleCCWMean,torsionAngleCCWStd,sacNumTMean,sacNumTStd,sacAmpSumTMean,sacAmpSumTStd,sacAmpMeanTMean,sacAmpMeanTStd,nonErrorTrialN,exp
3,1,50,-1,0.144420712157329,0.108011787896877,0.00288841424314658,0.00216023575793755,0.396575516080212,0.239954778578607,0.342427229772689,0.207598787025497,-0.0541482863075231,0.0902580110860809,0.2,0.447213595499958,0.0599236932003016,0.133993451458716,0.299618466001508,NaN,5,2
3,1,100,-1,0.294819945973353,0.296082879286467,0.00294819945973353,0.00296082879286467,0.546802945957881,0.424209002418271,0.521792427826938,0.438691029463097,-0.025010518130942,0.0436405136845098,0.5,0.836660026534076,0.182514871460971,0.282760124904959,0.411565060346676,0.197432631094184,6,2
3,1,200,-1,0.242529324780436,0.279808112502229,0.00121264662390218,0.00139904056251115,0.71191015463186,0.530822030917007,0.550706914526638,0.48117683523489,-0.161203240105223,0.186830405938004,0.75,0.957427107756338,0.21331157438049,0.310275933646588,0.26219459713377,0.0942750202576058,4,2
3,2,25,-1,-0.0310252476154862,0.176204047457692,-0.00124100990461945,0.00704816189830767,0.329964257357646,0.315554492429343,0.133679151073532,0.267358302147063,-0.196285106284115,0.13618768263304,1,1.4142135623731,0.418403722426557,0.531161229754464,0.467763652631215,0.139610965466434,4,2
3,2,50,-1,-0.199082153747334,0.188403018966855,-0.00398164307494668,0.0037680603793371,0.344475935322274,0.309695112307577,0.00344810773576369,0.0077102032909105,-0.34102782758651,0.314310940118929,0.4,0.547722557505166,0.157719619117889,0.228006023746381,0.394299047794723,0.146222093229273,5,2
3,2,100,-1,-0.0605589808909088,0.0707814067041871,-0.000605589808909088,0.000707814067041871,0.144077860185261,0.0748559272840549,0.0205308779015845,0.050290174830265,-0.123546982283677,0.0957182082218322,0,0,0,0,NaN,-0,6,2
3,2,200,-1,0.0178769125874671,0.126890972845451,8.93845629373353e-05,0.000634454864227256,0.20697534028352,0.0525878155210076,0.125136743226286,0.119095221375145,-0.0818385970572334,0.11909804931968,0,0,0,0,NaN,-0,5,2
3,1,25,1,0.372531267024769,0.152320824426777,0.0149012506809908,0.00609283297707107,0.800948239821405,0.371015512817053,0.739724857109784,0.301450242079966,-0.0612233827116202,0.136899645555668,0.6,0.894427190999916,0.291258549838143,0.417227735794803,0.502779882686845,0.0736054302611586,5,2
3,1,50,1,0.212259465781585,0.339063775311525,0.00424518931563169,0.0067812755062305,0.74420331817741,0.406793836184954,0.548359829843851,0.415809667933876,-0.195843488333559,0.271258056869762,1,1,0.406957082072595,0.379478959093086,0.434253077795163,0.121648722228338,5,2
3,1,100,1,0.331709717616774,0.181386616986568,0.00331709717616774,0.00181386616986568,0.603745226073333,0.288073143780086,0.594916362442804,0.299539601330132,-0.00882886363052947,0.0160274508481518,0.666666666666667,0.816496580927726,0.298902463283699,0.423662733817142,0.41637501888963,0.111014140100318,6,2
3,1,200,1,0.167602495088926,0.222457847961169,0.00083801247544463,0.00111228923980585,0.473125370612121,0.151737736088936,0.381900852765653,0.261311984742963,-0.0912245178464676,0.138155055792754,0.6,0.547722557505166,0.141134361610878,0.214835160856918,0.235223936018129,0.243125713644853,5,2
3,2,25,1,-0.0190274500267757,0.106684724598624,-0.000761098001071028,0.00426738898394498,0.161442707883364,0.109148852710712,0.0602227607963869,0.134662186933431,-0.101219947086977,0.094968042579993,0,0,0,0,NaN,-0,5,2
