sub,rotationSpeed,LsameSideAfterReversalD,LtorsionVelT,LtorsionVGain,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacAmpSumT,LsacAmpMeanT,RsameSideAfterReversalD,RtorsionVelT,RtorsionVGain,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacAmpSumT,RsacAmpMeanT,exp
1,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,0.853707854654522,0.00426853927327261,1.45171721951925,1.45171721951925,-0,2,2.50351238376786,1.25175619188393,2
1,50,-1,0.523960758361955,0.0104792151672391,1.08736119715472,1.08736119715472,-0,1,0.598938296537506,0.598938296537506,1,0.492566920814354,0.00985133841628709,1.03855853802281,1.03855853802281,-0,0,0,NaN,2
1,25,1,0.412549844706132,0.0165019937882453,0.772406746029729,0.772406746029729,-0,1,0.575406240006511,0.575406240006511,-1,0.200332112267671,0.00801328449070684,0.67087540880678,0.522784204325741,-0.148091204481039,1,0.208296896814313,0.208296896814313,2
1,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.460289021776141,0.0184115608710456,0.883571913627725,0.883571913627725,-0,1,0.212017984449906,0.212017984449906,2
1,25,1,0.631530547518402,0.0252612219007361,1.21527316808363,1.21527316808363,-0,1,0.824883548294257,0.824883548294257,-1,0.560968796046578,0.0224387518418631,1.03024310558089,1.03024310558089,-0,1,0.334295624551471,0.334295624551471,2
1,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.36592189077864,0.0146368756311456,0.728824398600974,0.728824398600974,-0,1,0.25117069895474,0.25117069895474,2
1,50,1,0.183736448113611,0.00367472896227221,0.319566251720992,0.319566251720992,-0,1,0.556167496808675,0.556167496808675,-1,0.265787392155462,0.00531574784310925,0.474069994168636,0.474069994168636,-0,0,0,NaN,2
1,50,1,0.121362205210993,0.00242724410421985,0.220050630657684,0.220050630657684,-0,2,0.720444714925269,0.360222357462634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,0.246613949564008,0.00493227899128016,0.641088985873371,0.532120480431905,-0.108968505441467,1,0.155182084883228,0.155182084883228,2
1,25,-1,0.0713969387820227,0.00285587755128091,0.670444354463768,0.393566793410569,-0.276877561053199,3,0.903260340491259,0.301086780163753,1,-0.768234522936299,-0.0307293809174519,1.5894623178044,0.144764995764589,-1.44469732203981,3,1.41785693152312,0.472618977174375,2
