sub,eye,rotationSpeed,afterReversalD,perceptualErrorMean,perceptualErrorStd,torsionPosMean,torsionPosStd,torsionVelTMean,torsionVelTStd,torsionVelTGainMean,torsionVelTGainStd,torsionAngleTotalMean,torsionAngleTotalStd,torsionAngleCWMean,torsionAngleCWStd,torsionAngleCCWMean,torsionAngleCCWStd,torsionAngleMean,torsionAngleStd,sacNumTMean,sacNumTStd,sacAmpSumTMean,sacAmpSumTStd,sacAmpMeanTMean,sacAmpMeanTStd,nonErrorTrialN,timeWindow,exp
9,2,100,-1,19.1075340385071,11.4866237310739,2.30222280922786,0.974900333147037,-2.20983315405962,0.534273161798488,-0.0220983315405962,0.00534273161798488,1.22500365246549,0.349093134546153,0,0,1.22500365246549,0.349093134546153,-1.22500365246549,0.349093134546153,0.285714285714286,0.487950036474267,0.153808081281822,0.270071853964863,0.538328284486378,0.153742105947548,7,1,1
9,2,200,-1,27.8091108639675,17.3643866082623,2.42797376997566,1.70866930176549,-2.50355222405933,0.406367721692172,-0.0125177611202966,0.00203183860846086,1.21054360221169,0.200029461256465,0,0,1.21054360221169,0.200029461256465,-1.21054360221169,0.200029461256465,1,1.73205080756888,0.551848740454974,0.955830056560905,0.551848740454974,NaN,3,1,1
9,2,400,-1,40.0367822328258,11.1230532492954,2.1939207181143,1.45514482953432,-2.0921820719036,0.758758693120141,-0.00523045517975901,0.00189689673280035,1.10517031278291,0.425829434284795,0,0,1.10517031278291,0.425829434284795,-1.10517031278291,0.425829434284795,0.5,0.534522483824849,0.436988644081462,0.613957212882087,0.873977288162924,0.608531460238595,8,1,1
10,2,25,1,2.63577939550013,3.85325399944423,-0.662890268053105,0.687682934920999,0.63153828022951,0.350942456484694,0.0252615312091804,0.0140376982593878,0.363529857198502,0.181774919843124,0.361740169022083,0.185246727138357,0.001789688176419,0.00876764566183735,0.359950480845664,0.189061687202551,0.0416666666666667,0.204124145231931,0.0159769707723964,0.0782708520554635,0.383447298537515,NaN,24,1,1
10,2,50,1,3.95987693233989,4.75508130369711,-0.606862327836962,0.589767317416911,0.60510355627846,0.268885400796748,0.0121020711255692,0.00537770801593496,0.352774196992963,0.154656386913669,0.352774196992963,0.154656386913669,0,0,0.352774196992963,0.154656386913669,0,0,0,0,NaN,-0,27,1,1
10,2,100,1,8.54801466690417,3.51744327890375,-0.487726537409745,0.641578431946357,0.850245219591702,0.404279468413446,0.00850245219591702,0.00404279468413446,0.49385407492091,0.243328875072457,0.49385407492091,0.243328875072457,0,0,0.49385407492091,0.243328875072457,0.0434782608695652,0.208514414057075,0.0130584227595604,0.0626259955150439,0.300343723469889,NaN,23,1,1
10,2,200,1,12.5966757819738,4.32750243906727,-0.645675381477944,0.699220297573348,0.828683416445915,0.337884517647748,0.00414341708222958,0.00168942258823874,0.483016838213857,0.19536410319113,0.482884478303032,0.195702338757825,0.000132359910825051,0.000687762271302821,0.482752118392207,0.196042403598748,0,0,0,0,NaN,-0,27,1,1
10,2,400,1,14.553840300053,4.8193947361624,-0.584660791041918,0.666956869276926,0.855617574152423,0.358961875377763,0.00213904393538106,0.000897404688444408,0.499217456677838,0.208999483399583,0.499217456677838,0.208999483399583,0,0,0.499217456677838,0.208999483399583,0,0,0,0,NaN,-0,24,1,1
10,2,25,-1,3.28809950194948,4.33939717412983,-0.00665067191234742,0.651220253744717,-0.404160030773199,0.37316923580182,-0.016166401230928,0.0149267694320728,0.238366129952643,0.206608011226231,0.0036096248439254,0.0115136328063443,0.234756505108718,0.21054637380698,-0.231146880264792,0.215029784505489,0,0,0,0,NaN,-0,22,1,1
10,2,50,-1,4.46070578188498,6.17251298021014,-0.173397323219509,0.595864699596178,-0.358325515187718,0.379523900169573,-0.00716651030375437,0.00759047800339146,0.217841556482538,0.203617640521362,0.00839043431410693,0.0283816698019963,0.209451122168431,0.210513289222853,-0.201060687854324,0.220867799166973,0,0,0,0,NaN,-0,25,1,1
10,2,100,-1,6.26244945258124,6.28106071445733,0.230786640434186,0.689017691439048,-0.553435590509715,0.365971207579793,-0.00553435590509715,0.00365971207579793,0.321954575599653,0.209617327316809,0,0,0.321954575599653,0.209617327316809,-0.321954575599653,0.209617327316809,0,0,0,0,NaN,-0,28,1,1
10,2,200,-1,12.6699523614103,6.22442367167689,0.0196569551746284,0.823050222092235,-0.470335542255837,0.395165340405401,-0.00235167771127919,0.00197582670202701,0.279434742788623,0.220475945783983,0.00415251636444492,0.0166035653519522,0.275282226424178,0.225192453921274,-0.271129710059733,0.231008650707331,0,0,0,0,NaN,-0,26,1,1
10,2,400,-1,13.2731296002039,6.39065688060931,-0.119363939809117,0.531919265275322,-0.289786350428752,0.22083923094997,-0.000724465876071881,0.000552098077374926,0.179713230939203,0.106153448303266,0.00707525986043001,0.0299844090317423,0.172637971078773,0.113622724384621,-0.165562711218343,0.127866422396415,0,0,0,0,NaN,-0,26,1,1
11,2,25,1,5.50568050245391,5.94941208790056,0.0269108000457692,0.617353284949448,1.10133132528826,0.342162598110637,0.0440532530115304,0.0136865039244255,0.631327159596644,0.196766916524148,0.631327159596644,0.196766916524148,0,0,0.631327159596644,0.196766916524148,0,0,0,0,NaN,-0,26,1,1
11,2,50,1,6.12752489453134,3.91949160511627,-0.290035590741986,0.636478092929344,1.56230335725129,0.514898212484137,0.0312460671450258,0.0102979642496827,0.899241710586117,0.296231820805655,0.899241710586117,0.296231820805655,0,0,0.899241710586117,0.296231820805655,0,0,0,0,NaN,-0,23,1,1
11,2,100,1,15.0111145591277,5.35594820348509,-0.346610650943137,0.699797012098436,1.98934495455161,0.450928063184443,0.0198934495455161,0.00450928063184443,1.13067738550055,0.274772151321688,1.13067738550055,0.274772151321688,0,0,1.13067738550055,0.274772151321688,0.0769230769230769,0.271746488194703,0.0162654392899137,0.0631088921280404,0.211450710768878,0.130476733056238,26,1,1
11,2,200,1,17.236170275047,6.33766336524114,-0.192987813338856,0.633026569671907,2.07816136003598,0.428313693532449,0.0103908068001799,0.00214156846766224,1.17342295228431,0.266330677014918,1.17342295228431,0.266330677014918,0,0,1.17342295228431,0.266330677014918,0.107142857142857,0.314970394174356,0.0345571980821308,0.111017589760958,0.322533848766554,0.164508037615986,28,1,1
11,2,400,1,21.371151620071,6.10360292821924,-0.0724200268568725,0.673123415541953,1.95496938236899,0.48656623945028,0.00488742345592248,0.0012164155986257,1.11964390933723,0.281851512683976,1.11964390933723,0.281851512683976,0,0,1.11964390933723,0.281851512683976,0.0357142857142857,0.188982236504614,0.00766976385848514,0.0405845755682858,0.214753388037584,NaN,28,1,1
11,2,25,-1,6.0775403007811,4.00119494941144,1.82705287708282,0.780752997237355,-0.93640865029168,0.266835642096225,-0.0374563460116672,0.010673425683849,0.548822004457459,0.158128232436793,0,0,0.548822004457459,0.158128232436793,-0.548822004457459,0.158128232436793,0,0,0,0,NaN,-0,27,1,1
11,2,50,-1,8.77343972213419,4.24324311634809,2.1242550441556,0.783375950502475,-1.41776046498092,0.369712368144507,-0.0283552092996184,0.00739424736289014,0.828526946443439,0.21249182721961,0,0,0.828526946443439,0.21249182721961,-0.828526946443439,0.21249182721961,0,0,0,0,NaN,-0,27,1,1
11,2,100,-1,12.6919293339401,4.10581885329795,2.54780741128264,0.736368537004932,-2.04244195614689,0.433381061851768,-0.0204244195614689,0.00433381061851768,1.19362796917112,0.253034408306708,0,0,1.19362796917112,0.253034408306708,-1.19362796917112,0.253034408306708,0,0,0,0,NaN,-0,24,1,1
11,2,200,-1,17.0473087275086,6.2314350365957,2.29786052322548,0.834387276709331,-2.12145868752758,0.479405479684662,-0.0106072934376379,0.00239702739842331,1.23199053428168,0.286365426492346,0,0,1.23199053428168,0.286365426492346,-1.23199053428168,0.286365426492346,0.0357142857142857,0.188982236504614,0.0122995871011148,0.0650832973966554,0.344388438831215,NaN,28,1,1
11,2,400,-1,19.2162539752357,3.92766180545904,2.05593102903799,0.873241732767624,-1.75650249123114,0.523764703176905,-0.00439125622807784,0.00130941175794226,1.0256634671981,0.305220135277369,0,0,1.0256634671981,0.305220135277369,-1.0256634671981,0.305220135277369,0,0,0,0,NaN,-0,29,1,1
12,2,25,1,1.85605305000888,3.21918241723135,-0.18533521302314,0.269475422450239,0.556178162991356,0.283567258161209,0.0222471265196542,0.0113426903264483,0.321219737706525,0.159534429608246,0.320425171038269,0.161122032808649,0.000794566668256609,0.00427887245881761,0.319630604370012,0.162806640470812,0,0,0,0,NaN,-0,29,1,1
12,2,50,1,4.4689305902222,2.97015815239325,-0.106336926190863,0.432667061668453,0.670741804050185,0.285043396351025,0.0134148360810037,0.00570086792702051,0.388863155825538,0.165019506789857,0.388863155825538,0.165019506789857,0,0,0.388863155825538,0.165019506789857,0,0,0,0,NaN,-0,27,1,1
12,2,100,1,7.66486829608214,3.28863310293497,-0.307702831344104,0.334848047168052,0.854567023097952,0.43733041493904,0.00854567023097952,0.0043733041493904,0.497825239557356,0.251091177017697,0.497131551292652,0.252487668186028,0.000693688264703276,0.00360450995724109,0.496437863027949,0.253927649104951,0,0,0,0,NaN,-0,27,1,1
12,2,200,1,11.7539847204258,2.64614973013304,-0.189535205153231,0.395868175787444,0.933967891252494,0.398715738716485,0.00466983945626247,0.00199357869358242,0.55013732823439,0.200553358505654,0.544936912363123,0.2133660104277,0.00520041587126729,0.0249403183697595,0.539736496491856,0.228193992393619,0,0,0,0,NaN,-0,23,1,1
12,2,400,1,12.5392554690702,3.42762931000854,0.00904545378194847,0.296473955452456,0.759552016198563,0.166882943230218,0.00189888004049641,0.000417207358075546,0.439465926269216,0.0981140195367165,0.439465926269216,0.0981140195367165,0,0,0.439465926269216,0.0981140195367165,0,0,0,0,NaN,-0,25,1,1
12,2,25,-1,5.54932023686378,4.60169643714292,0.440306616379674,0.268716766828816,-0.656180158462902,0.185718502870808,-0.0262472063385161,0.00742874011483232,0.383042100030985,0.108829075944408,0,0,0.383042100030985,0.108829075944408,-0.383042100030985,0.108829075944408,0,0,0,0,NaN,-0,28,1,1
12,2,50,-1,7.69458056808712,4.86675665890824,0.453472907949114,0.320169222840563,-0.731223784794976,0.290748939309411,-0.0146244756958995,0.00581497878618822,0.425240993555946,0.170318501852614,0,0,0.425240993555946,0.170318501852614,-0.425240993555946,0.170318501852614,0,0,0,0,NaN,-0,26,1,1
12,2,100,-1,10.5396066310367,4.29575471289832,0.550860146093036,0.323528554026846,-0.858212782114011,0.340145317946259,-0.00858212782114011,0.00340145317946259,0.497856827758404,0.199217097820648,0,0,0.497856827758404,0.199217097820648,-0.497856827758404,0.199217097820648,0.04,0.2,0.0135923418041074,0.0679617090205371,0.339808545102686,NaN,25,1,1
12,2,200,-1,13.5574385236146,3.60026483190936,0.500642860555046,0.356647928815626,-0.776682855765568,0.301836715390697,-0.00388341427882784,0.00150918357695349,0.449219599927033,0.17668215373346,0,0,0.449219599927033,0.17668215373346,-0.449219599927033,0.17668215373346,0.0384615384615385,0.196116135138184,0.0197749469511393,0.100832840384121,0.514148620729621,NaN,26,1,1
12,2,400,-1,15.7234116850004,3.68634626387203,0.417506065401577,0.40275177054127,-0.620700177903941,0.302678689207534,-0.00155175044475985,0.000756696723018836,0.369052332335044,0.161444617135655,0.0035335938413069,0.0122365042556038,0.365518738493737,0.169131471905921,-0.36198514465243,0.177330226551605,0,0,0,0,NaN,-0,25,1,1
13,2,25,1,3.76850066450388,4.38339513548451,-0.740545783860675,0.505739168424796,0.570294184887486,0.285574451390268,0.0228117673954994,0.0114229780556107,0.341183740849897,0.142897697627857,0.330845635187249,0.150280291308713,0.0103381056626479,0.0386816494178959,0.330845635187249,0.150280291308713,0.214285714285714,0.578934223521839,0.114554846871083,0.29321636475353,0.579497206743757,0.190528174273825,14,1,1
13,2,50,1,3.44157022465326,1.78946727714184,-0.470763768192562,0.585139484852839,0.640964160291776,0.386233874422693,0.0128192832058355,0.00772467748845386,0.371896630339002,0.223511690640848,0.371896630339002,0.223511690640848,0,0,0.371896630339002,0.223511690640848,0,0,0,0,NaN,-0,13,1,1
